

 FILENAME = r15482m.bp             
SAMPLE = mb      VERSION =             
DATE OF SPECTRUM= 
              
NOTE:        
NOTE:        

        LOW LAMBDA (nm)     HIGH LAMBDA (nm)    # OF POINTS         DELTA X
         160.0               260.0                 501                 0.0

        CONC (mg/ml)        PATHLENGTH (cm)     SCALE (Deg)         MEAN RES MW
        0.000E+00             0.000                0.000               0.000

        TIME CONST (s)      SCAN SPEED(nm/min)  DETECTOR POSITION   # SCANS
           0.00                0.00   0.00           08

               DATAPOINTS

  LAMBDA         Y DATA          ST. DEV.           O.D.
   160.000         -24667.189      0.000          0.000       
   160.200         -25615.926      0.000          0.000       
   160.400         -26564.664      0.000          0.000       
   160.600         -27671.525      0.000          0.000       
   160.800         -28462.141      0.000          0.000       
   161.000         -29410.879      0.000          0.000       
   161.200         -30201.492      0.000          0.000       
   161.400         -30992.107      0.000          0.000       
   161.600         -31782.725      0.000          0.000       
   161.800         -32573.338      0.000          0.000       
   162.000         -33205.828      0.000          0.000       
   162.200         -33838.320      0.000          0.000       
   162.400         -34470.813      0.000          0.000       
   162.600         -35103.305      0.000          0.000       
   162.800         -37000.781      0.000          0.000       
   163.000         -36210.168      0.000          0.000       
   163.200         -36368.289      0.000          0.000       
   163.400         -36842.660      0.000          0.000       
   163.600         -36684.535      0.000          0.000       
   163.800         -37475.152      0.000          0.000       
   164.000         -39056.379      0.000          0.000       
   164.200         -40005.117      0.000          0.000       
   164.400         -40321.363      0.000          0.000       
   164.600         -41586.352      0.000          0.000       
   164.800         -42535.086      0.000          0.000       
   165.000         -43167.578      0.000          0.000       
   165.200         -42851.332      0.000          0.000       
   165.400         -42376.965      0.000          0.000       
   165.600         -41744.473      0.000          0.000       
   165.800         -40795.730      0.000          0.000       
   166.000         -40005.117      0.000          0.000       
   166.200         -39846.996      0.000          0.000       
   166.400         -37475.152      0.000          0.000       
   166.600         -36210.168      0.000          0.000       
   166.800         -36210.168      0.000          0.000       
   167.000         -34628.938      0.000          0.000       
   167.200         -32257.092      0.000          0.000       
   167.400         -30043.369      0.000          0.000       
   167.600         -28304.018      0.000          0.000       
   167.800         -26090.297      0.000          0.000       
   168.000         -23402.205      0.000          0.000       
   168.200         -20555.988      0.000          0.000       
   168.400         -17867.898      0.000          0.000       
   168.600         -14863.562      0.000          0.000       
   168.800         -12491.718      0.000          0.000       
   169.000          -9961.749      0.000          0.000       
   169.200          -7906.150      0.000          0.000       
   169.400          -6483.043      0.000          0.000       
   169.600          -5218.059      0.000          0.000       
   169.800          -4743.690      0.000          0.000       
   170.000          -3478.706      0.000          0.000       
   170.200          -2371.845      0.000          0.000       
   170.400          -2055.599      0.000          0.000       
   170.600          -2529.968      0.000          0.000       
   170.800          -1897.476      0.000          0.000       
   171.000          -1423.107      0.000          0.000       
   171.200           -632.492      0.000          0.000       
   171.400           -474.369      0.000          0.000       
