data_name b030600b.001
_date_  08-16-1998
_time_  13:12:18
_software_ AVIV 60DS  V4.1i
_raw_data_
_hardware_tc_ 1
_fs_range_ 500.000002
_fs_cal_ 100.000000
_gain_factor_ 5.000000
_err_strngncy_ 3
_error_filter_  10
_srvo_strngncy_ 4
_n_points  426
x_decr
x_unit nanometers
y_unit millidegrees
_y_type_   millidegrees
oplevel 1.005 uAx2
_slit_mode_ _constant_bandwidth_
bandwidth 1.50 nm
_temperature_ 10.6 C
_x_range   195.00 to 280.00 nanometers
scan_step 0.20 nm
_avg_time_ 1.0 s
_data_
280.00 -2.757
279.80 -2.350
279.60 -2.761
279.40 -2.278
279.20 -2.130
279.00 -2.447
278.80 -2.196
278.60 -2.152
278.40 -2.432
278.20 -2.109
278.00 -2.307
277.80 -2.312
277.60 -2.376
277.40 -2.428
277.20 -2.612
277.00 -2.307
276.80 -2.547
276.60 -2.475
276.40 -2.389
276.20 -1.919
276.00 -2.616
275.80 -2.546
275.60 -2.521
275.40 -2.146
275.20 -2.295
275.00 -2.366
274.80 -2.099
274.60 -2.385
274.40 -2.008
274.20 -2.150
274.00 -2.342
273.80 -2.482
273.60 -2.203
273.40 -2.420
273.20 -2.308
273.00 -1.374
272.80 -1.856
272.60 -2.058
272.40 -2.241
272.20 -2.229
272.00 -1.759
271.80 -2.691
271.60 -1.874
271.40 -2.347
271.20 -2.301
271.00 -2.370
270.80 -2.135
270.60 -2.120
270.40 -2.133
270.20 -2.317
270.00 -1.467
269.80 -2.040
269.60 -2.344
269.40 -2.123
269.20 -2.576
269.00 -2.446
268.80 -1.979
268.60 -1.703
268.40 -2.145
268.20 -2.132
268.00 -2.174
267.80 -2.078
267.60 -2.231
267.40 -2.199
267.20 -2.320
267.00 -2.062
266.80 -1.944
266.60 -1.857
266.40 -1.731
266.20 -2.197
266.00 -2.017
265.80 -1.993
265.60 -1.664
265.40 -2.058
265.20 -1.763
265.00 -2.160
264.80 -1.395
264.60 -2.070
264.40 -1.946
264.20 -2.021
264.00 -1.949
263.80 -1.663
263.60 -1.809
263.40 -1.686
263.20 -1.735
263.00 -2.239
262.80 -1.472
262.60 -1.797
262.40 -2.152
262.20 -2.138
262.00 -2.296
261.80 -2.110
261.60 -1.640
261.40 -2.104
261.20 -2.313
261.00 -2.274
260.80 -1.829
260.60 -1.933
260.40 -1.753
260.20 -2.140
260.00 -2.057
259.80 -2.010
259.60 -2.087
259.40 -2.056
259.20 -1.922
259.00 -2.264
258.80 -2.208
258.60 -1.369
258.40 -1.823
258.20 -1.504
258.00 -1.565
257.80 -1.430
257.60 -2.608
257.40 -2.050
257.20 -2.117
257.00 -2.328
256.80 -2.610
256.60 -2.571
256.40 -2.206
256.20 -2.308
256.00 -2.402
255.80 -1.488
255.60 -2.289
255.40 -1.741
255.20 -1.770
255.00 -2.395
254.80 -1.746
254.60 -2.196
254.40 -2.507
254.20 -2.275
254.00 -1.790
253.80 -2.300
253.60 -2.579
253.40 -2.277
253.20 -2.060
253.00 -2.413
252.80 -2.718
252.60 -2.014
252.40 -2.171
252.20 -2.376
252.00 -2.319
251.80 -2.358
251.60 -2.610
251.40 -2.200
251.20 -2.393
251.00 -1.935
250.80 -2.192
250.60 -1.880
250.40 -2.617
250.20 -2.497
250.00 -2.089
249.80 -2.589
249.60 -2.871
249.40 -2.388
249.20 -2.347
249.00 -1.795
248.80 -2.335
248.60 -2.366
248.40 -2.402
248.20 -2.068
248.00 -2.144
247.80 -1.773
247.60 -2.242
247.40 -2.421
247.20 -2.408
247.00 -2.712
246.80 -2.123
246.60 -2.467
246.40 -2.286
246.20 -2.796
246.00 -2.456
245.80 -2.472
245.60 -2.472
245.40 -3.060
245.20 -2.549
245.00 -2.496
244.80 -1.913
244.60 -1.977
244.40 -2.256
244.20 -2.900
244.00 -2.946
243.80 -2.520
243.60 -2.981
243.40 -1.832
243.20 -3.084
243.00 -2.366
242.80 -2.209
242.60 -2.966
242.40 -2.724
242.20 -2.451
242.00 -2.879
241.80 -2.237
241.60 -2.439
241.40 -2.478
241.20 -2.813
241.00 -2.708
240.80 -2.417
240.60 -2.509
240.40 -2.308
240.20 -2.485
240.00 -2.097
239.80 -2.668
239.60 -2.887
239.40 -2.877
239.20 -2.361
239.00 -2.576
238.80 -2.024
238.60 -2.494
238.40 -2.703
238.20 -2.474
238.00 -2.792
237.80 -2.985
237.60 -2.504
237.40 -2.300
237.20 -2.861
237.00 -2.645
236.80 -2.866
236.60 -2.258
236.40 -2.994
236.20 -2.266
236.00 -2.801
235.80 -2.846
235.60 -2.698
235.40 -2.849
235.20 -2.958
235.00 -2.841
234.80 -2.365
234.60 -2.534
234.40 -3.200
234.20 -2.605
234.00 -2.951
233.80 -2.839
233.60 -2.945
233.40 -2.838
233.20 -3.230
233.00 -3.207
232.80 -2.786
232.60 -2.923
232.40 -2.620
232.20 -2.646
232.00 -2.976
231.80 -2.998
231.60 -2.846
231.40 -3.139
231.20 -3.422
231.00 -2.828
230.80 -2.877
230.60 -3.194
230.40 -3.114
230.20 -2.797
230.00 -3.693
229.80 -3.240
229.60 -3.217
229.40 -3.760
229.20 -4.196
229.00 -2.839
228.80 -3.253
228.60 -3.479
228.40 -3.356
228.20 -3.963
228.00 -3.839
227.80 -4.109
227.60 -3.635
227.40 -3.088
227.20 -3.187
227.00 -3.514
226.80 -3.149
226.60 -3.464
226.40 -3.624
226.20 -4.245
226.00 -3.184
225.80 -3.760
225.60 -3.721
225.40 -4.054
225.20 -3.269
225.00 -3.423
224.80 -3.814
224.60 -3.534
224.40 -3.577
224.20 -4.253
224.00 -2.922
223.80 -3.894
223.60 -4.579
223.40 -3.712
223.20 -3.607
223.00 -3.991
222.80 -4.000
222.60 -4.534
222.40 -3.445
222.20 -3.903
222.00 -3.963
221.80 -4.146
221.60 -3.870
221.40 -4.143
221.20 -3.818
221.00 -3.623
220.80 -3.841
220.60 -4.024
220.40 -4.120
220.20 -4.004
220.00 -4.863
219.80 -4.614
219.60 -4.092
219.40 -4.196
219.20 -3.755
219.00 -4.663
218.80 -3.739
218.60 -3.463
218.40 -3.950
218.20 -3.918
218.00 -3.914
217.80 -4.233
217.60 -4.348
217.40 -4.230
217.20 -5.022
217.00 -3.883
216.80 -4.827
216.60 -3.717
216.40 -4.750
216.20 -4.524
216.00 -4.355
215.80 -4.592
215.60 -4.235
215.40 -4.393
215.20 -4.493
215.00 -4.307
214.80 -4.554
214.60 -4.531
214.40 -4.642
214.20 -4.876
214.00 -4.724
213.80 -4.335
213.60 -4.793
213.40 -3.818
213.20 -4.487
213.00 -4.907
212.80 -3.892
212.60 -4.734
212.40 -4.366
212.20 -4.616
212.00 -4.422
211.80 -4.218
211.60 -4.527
211.40 -4.819
211.20 -4.595
211.00 -4.531
210.80 -4.982
210.60 -4.759
210.40 -5.070
210.20 -4.624
210.00 -4.583
209.80 -4.540
209.60 -5.202
209.40 -5.316
209.20 -5.005
209.00 -5.264
208.80 -4.312
208.60 -4.850
208.40 -5.215
208.20 -4.558
208.00 -5.352
207.80 -4.868
207.60 -5.199
207.40 -4.693
207.20 -5.503
207.00 -5.162
206.80 -4.703
206.60 -5.368
206.40 -5.460
206.20 -4.719
206.00 -5.039
205.80 -5.366
205.60 -5.341
205.40 -5.068
205.20 -4.918
205.00 -4.687
204.80 -5.182
204.60 -5.113
204.40 -4.346
204.20 -4.724
204.00 -5.098
203.80 -5.099
203.60 -5.085
203.40 -4.976
203.20 -5.244
203.00 -4.882
202.80 -4.965
202.60 -5.675
202.40 -5.576
202.20 -4.769
202.00 -5.301
201.80 -5.524
201.60 -4.147
201.40 -4.344
201.20 -4.307
201.00 -4.771
200.80 -5.058
200.60 -5.080
200.40 -5.174
200.20 -5.364
200.00 -4.605
199.80 -4.673
199.60 -4.938
199.40 -5.596
199.20 -4.860
199.00 -4.642
198.80 -4.996
198.60 -4.913
198.40 -5.411
198.20 -3.829
198.00 -4.406
197.80 -4.792
197.60 -4.748
197.40 -3.859
197.20 -4.673
197.00 -4.543
196.80 -4.510
196.60 -4.927
196.40 -2.769
196.20 -3.843
196.00 -4.488
195.80 -2.682
195.60 -4.652
195.40 -4.010
195.20 -3.272
195.00 -3.938
_data_end_
