TITLE	WT-TTR. Gdn Unfold. 990710
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	100/01/11
TIME	15:35:13
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-0.5
XUNITS	
YUNITS	
1.00000
1.00000
FIRSTX	430.0000
LASTX	200.0000
NPOINTS	461
FIRSTY	461
MAXY	-0.00034
MINY	-0.01373
430.0000	-0.00120637
429.5000	-0.00120218
429.0000	-0.00120289
428.5000	-0.00120646
428.0000	-0.00120236
427.5000	-0.00119565
427.0000	-0.00118656
426.5000	-0.00117625
426.0000	-0.00117054
425.5000	-0.00116657
425.0000	-0.00116918
424.5000	-0.00117181
424.0000	-0.00117405
423.5000	-0.00116957
423.0000	-0.00116738
422.5000	-0.0011592
422.0000	-0.00114967
421.5000	-0.00115201
421.0000	-0.00114902
420.5000	-0.00113948
420.0000	-0.00113034
419.5000	-0.00111915
419.0000	-0.00110076
418.5000	-0.00109666
418.0000	-0.00109326
417.5000	-0.00108174
417.0000	-0.00108086
416.5000	-0.00107477
416.0000	-0.00106871
415.5000	-0.00107684
415.0000	-0.00107998
414.5000	-0.00108396
414.0000	-0.00108037
413.5000	-0.00107817
413.0000	-0.00108176
412.5000	-0.00108103
412.0000	-0.00107953
411.5000	-0.00107554
411.0000	-0.00106824
410.5000	-0.00105786
410.0000	-0.00106471
409.5000	-0.00107649
409.0000	-0.00108088
408.5000	-0.00108472
408.0000	-0.00108308
407.5000	-0.00107851
407.0000	-0.00107084
406.5000	-0.00107473
406.0000	-0.0010751
405.5000	-0.00107366
405.0000	-0.00107204
404.5000	-0.00106431
404.0000	-0.00104936
403.5000	-0.00103653
403.0000	-0.00103001
402.5000	-0.00102029
402.0000	-0.0010132
401.5000	-0.00101744
401.0000	-0.00101631
400.5000	-0.0010083
400.0000	-0.00101175
399.5000	-9.9649E-04
399.0000	-9.76353E-04
398.5000	-9.65636E-04
398.0000	-9.54665E-04
397.5000	-9.5798E-04
397.0000	-9.60873E-04
396.5000	-9.61669E-04
396.0000	-9.54437E-04
395.5000	-9.43717E-04
395.0000	-9.43184E-04
394.5000	-9.41636E-04
394.0000	-9.35794E-04
393.5000	-9.36458E-04
393.0000	-9.32793E-04
392.5000	-9.32846E-04
392.0000	-9.34282E-04
391.5000	-9.39006E-04
391.0000	-9.41786E-04
390.5000	-9.30272E-04
390.0000	-9.306E-04
389.5000	-9.30473E-04
389.0000	-9.24403E-04
388.5000	-9.26112E-04
388.0000	-9.3129E-04
387.5000	-9.28424E-04
387.0000	-9.32534E-04
386.5000	-9.32786E-04
386.0000	-9.29686E-04
385.5000	-9.31457E-04
385.0000	-9.2964E-04
384.5000	-9.25603E-04
384.0000	-9.3465E-04
383.5000	-9.32901E-04
383.0000	-9.39499E-04
382.5000	-9.4603E-04
382.0000	-9.32878E-04
381.5000	-9.30285E-04
381.0000	-9.28272E-04
380.5000	-9.19281E-04
380.0000	-9.16275E-04
379.5000	-9.06265E-04
379.0000	-9.01251E-04
378.5000	-8.95187E-04
378.0000	-8.88857E-04
377.5000	-8.81083E-04
377.0000	-8.69813E-04
376.5000	-8.67185E-04
376.0000	-8.69863E-04
375.5000	-8.61703E-04
375.0000	-8.5874E-04
374.5000	-8.59278E-04
374.0000	-8.46799E-04
373.5000	-8.41868E-04
373.0000	-8.48237E-04
372.5000	-8.42518E-04
372.0000	-8.36983E-04
371.5000	-8.40774E-04
371.0000	-8.40129E-04
370.5000	-8.38034E-04
370.0000	-8.42866E-04
369.5000	-8.26885E-04
369.0000	-8.21236E-04
368.5000	-8.00616E-04
368.0000	-7.93941E-04
367.5000	-7.85208E-04
367.0000	-7.81782E-04
366.5000	-7.88653E-04
366.0000	-7.96236E-04
365.5000	-8.07671E-04
365.0000	-8.12717E-04
364.5000	-8.11556E-04
364.0000	-8.01574E-04
363.5000	-7.92524E-04
363.0000	-7.91751E-04
362.5000	-7.93919E-04
362.0000	-7.98319E-04
361.5000	-8.08808E-04
361.0000	-7.98586E-04
360.5000	-7.90814E-04
360.0000	-7.85003E-04
359.5000	-7.72773E-04
359.0000	-7.62556E-04
